Genes,5_4_1_1,5_4_1_2,6_5_1_1,6_5_1_2,6_5_1_3,7_6_1_1,7_6_1_2,7_6_1_3,7_6_1_4
SIA10_HUMAN,-0.272705757,-0.353673069,0.242637035,0.470445698,0.639821859,0.082361655,0.266299647,0.786642222,0.788207342
SIA4A_HUMAN,-0.251928194,-0.393278777,-0.503699278,-0.857725496,-0.785686574,-0.440298834,-0.825348931,-0.882540119,-0.718808016
SIA4B_HUMAN,0.360980962,0.515084247,0.364735253,0.689179489,0.542570535,0.652666343,0.925575259,0.686457295,0.454500143
SIA4C_HUMAN,0.75090854,0.556217768,0.713661757,0.261584399,0.176304727,-0.320101866,-0.356068056,-0.093969826,-0.181166128
SIA7A_HUMAN,-0.242796952,-0.438048446,-0.252354986,-0.631995005,-0.496854799,-0.638991115,-0.925927802,-0.65375312,-0.454289606
SIA7C_HUMAN,-0.392354796,-0.24706018,-0.666874124,-0.607812617,-0.621396702,-0.068689821,-0.204149323,-0.603870222,-0.476555449
SIA7D_HUMAN,0.182729375,0.36097008,-0.309330506,-0.2825486,-0.473505598,0.282290771,0.200164856,-0.469860249,-0.541530113
SIA8A_HUMAN,0.383717565,0.575659919,-0.072098747,-0.011232464,-0.245894344,0.396246378,0.407267863,-0.246088996,-0.389247298
SIA8D_HUMAN,0.854873438,0.84132729,0.278612268,-0.046155175,-0.322066739,0.224427644,0.067308789,-0.462524062,-0.67467979
SIA8F_HUMAN,0.188543644,0.395427812,-0.130916988,-0.10890475,-0.275187549,0.025277761,0.076411693,-0.379889094,-0.386166388
SIAE_HUMAN,0.225743932,0.052465478,-0.035232445,-0.561239784,-0.575406416,-0.569435174,-0.873073292,-0.836296598,-0.737525605
SIAH1_HUMAN,-0.159513208,-0.163481871,0.401237911,0.292765615,0.447115693,-0.941186246,-0.655610312,0.120007332,0.38543976
SIAH2_HUMAN,-0.343013705,-0.395239751,-0.05496737,-0.280039748,-0.116565278,-0.928428649,-0.914849966,-0.393162418,-0.088943823
SIAS_HUMAN,-0.317458897,-0.426353114,0.327640498,0.305556219,0.535935686,-0.652310814,-0.448887972,0.399869729,0.602009985
SIAT1_HUMAN,0.107570119,0.197723693,-0.523633822,-0.605150275,-0.77367104,0.314641015,0.035584989,-0.721481148,-0.792016392
SIAT2_HUMAN,0.732529521,0.524797258,0.558739601,0.043875211,-0.056025431,-0.314578684,-0.45653103,-0.322410029,-0.403431457
SIAT6_HUMAN,-0.228479276,-0.151089278,0.468231724,0.777217398,0.920763914,-0.235574769,0.225607522,0.890910684,0.982450557
SIAT9_HUMAN,0.933452716,0.914767739,0.562560202,0.176899308,-0.070245809,-0.100498089,-0.120556663,-0.355093256,-0.503585937
